author,title
"Anderson, Bridget; Poarch, Candice; Reeves, Adrienne Ellis",Moonlight and Mistletoe
"Anderson, John L.",Night of the Silent Drums: A Narrative of Slave Rebellion in the Virgin Island
"Andrews, Raymond",Rosiebelle Lee Wildcat Tennessee
"Andrews, Raymond",Jessie and Jesus and Cousin Claire: Two Novellas
"Andrews, W. T.","A Waif-- A Prince; Or, A Mothers Triumph"
"Andrews, W.T.","A Waif-- A Prince; or, A Mother's Triumph"
"Ansa, Tina McElroy",You Know Better
"Anthony, Crystal McCrary and Ewing, Rita",Homecourt Advantage
"Anthony, Sterling",Cookie Cutter
"Armstrong-Miller, Linda",Touched
"Arnold, Ethel Nishua",She Knew No Evil
"Ashley, Martin",Checkmate and Deathmate
"Asim, Jabari",Only The Strong
"Assister, Earl",The Ebony Image
"Austin, Milton Lee",Uncle Tom Willie
"Austin, Neffetiti",Eternity
"Austin, Neffetiti",Abandon
"Bailey-Williams, Nicole",A Little Piece of Sky
"Baisden, Michael",God's Gift to Women
Baisden. Michael,"Maintenance Man II: Money, Politics and Sex: Everyone Has a Price"
"Baker, Calvin",Naming the New World: A Novel
"Baker, T.N.",Still Sheisty: Part 2
"Baker, T.N.",Dice
"Ballard, John",Soul to Soul
"Ballard, John Henry",Soul to Soul: A Daring Adeventure
"Ballard, John*",Brock James and MacBurnie King in– Brothers and Sisters: A Novel
"Banks, L.A. *",Minion: A Vampire Huntress Legend
"Banks, Leslie E.","Soul Food: For Better, For Worse"
"Banks, Leslie E.",Soul Food: Through Thick and Thin
"Barker, Ben",The Time of the Terrorists
"Barnes, Steven",Streetlethal
"Barnes, Steven",The Kundalini Equation
"Barnes, Steven",Tweed Loop
"Barnes, Steven",Firedance
"Barnes, Steven",Blood Brothers
"Barnes, Steven",Iron Shadows
"Barnes, Steven",Lion's Blood
"Barnes, Steven",Charisma
"Barnes, Steven",Zulu Heart
"Barnes, Steven",Far Beyond the Stars: A Novel
"Barnes, Steven and Larry Niven",The Descent of Anansi
"Barnes, Steven and Larry Niven",Saturn's Race
"Baszile, Natalie",Queen Sugar
"Bates, Karen Grigsby",Plain Brown Wrapper: An Alex Powell Novel
"Battles, Jesse Moore",Somebody Please Help Me
"Beamon, M. C",Dark Recesses
"Beason, Mattie",West to the Ohio River
"Beatty, Paul",Slumberland
"Beatty, Paul",The Sellout
"Beck, Robert","Trick Baby, the Biography of a Con Man"
"Beck, Robert",Death Wish
"Beck, Robert",Airtight Willie & Me
"Beck, Robert",Long White Con; Trick Baby's Newest Score
"Beckham, Barry",Double Dunk
"Bell, Cassandra",The Color of Love
"Bellamy, Adrienne",Departures
"Benjamin, C. O. Robert",The Defender of Obadiah Cuff
"Benjamin, J.M.",Memoirs of an Accidental Hustler
"Bennett, Brit",The Mothers
"Benson, Angela",Bands of Gold
"Benson, Angela",For All Time
"Benson, Angela",Between the Lines
"Benson, Angela",A Family Wedding
"Benson, Angela",The Nicest Guy in America
"Benson, Angela",Second Chance Dad
"Benson, Angela",The Way Home
"Benson, Angela",Awakening Mercy
"Benson, Angela",Abiding Hope
"Benson, Angela",The Summer of Me
"Benson, Chris",Special Interest: A Novel
"Berry, Charlene",Women's Holiday
"Berry, Venise T.",Colored Sugar Water
"Bertrand, Yolande",A Play For Love
"Bertrand, Yolande",Borrowed Moments
"Bertrand, Yolande",Come September
"Bertrand, Yolande",Dark Road Home
"Beverly, Sonnie",Real Saved Folks
"Biggs, Undra E.",When You Look at Me
"Billingsley, ReShonda Tate",My Brother’s Keeper: A Novel
"Billingsley, ReShonda Tate",Let the Church Say Amen
"Billingsley, ReShonda Tate",Nothing But Drama
"Billingsley, ReShonda Tate",The Pastor's Wife
"Billingsley, ReShonda Tate",A Family Affair
"Black, Daniel",Listen to the Lambs: A Novel
"Black, Sonny F.",Gangsta Bitch
"Blackson, Lorenzo D.","Rise and Progress of the Kingdoms of Light and Darkness; Or, The Reign of the Kings Alpha and Abadon"
"Blaine, Laurence",Black Muscle
"Blaine, Laurence",Sweet Street Blues
"Blair, J. Paul",Out of the Wind
"Bland, Eleanor Taylor",Dead Time
"Bland, Eleanor Taylor",Slow Burn: A Marti MacAlister Mystery
"Bland, Eleanor Taylor",Gone Quiet
"Bland, Eleanor Taylor",Done Wrong
"Bland, Eleanor Taylor",Keep Still
"Bland, Eleanor Taylor",See No Evil
"Bland, Eleanor Taylor",Tell No Tales
"Bland, Eleanor Taylor",Scream in Silence
"Bland, Eleanor Taylor",Whispers in the Dark
"Bland, Eleanor Taylor",Windy City Dying
"Bland, Eleanor Taylor",Fatal Remains
"Blue, Treasure E.",Harlem Girl Lost: A Novel
"Blue, Treasure E.",A Street Girl Named Desire
"Boles, Philana Marie",Blame It on Eve
"Bond, Cynthia",Ruby
"Bond, Odessa",The Double Tragedy
"Bontemps, Alex",Black Comanche Boy
"Bontemps, Ama Wendell",Black Thunder
"Bosworth, William",The Long Search
"Bottoms, Timothy L.",Mr. Schutzer
"Boullon, J.M.",Surrender the Dream
"Bowen, Michele Andrea",Church Folk
"Bowen, Michele Andrea",Second Sunday
"Bowen, Michele Andrea",Holy Ghost Corner
"Bowen, Rhonda",One Way or Another
"Bowman, Elizabeth Atkins",White Chocolate
"Bowman, Elizabeth Atkins",Dark Secret
"Brady, B.B.",The Pit Palace
"Bragg, L.B.",Rainbow Roun Mah Shoulder
"Branch, Edward",The High Places: A Novel
"Branch, Kip",Gnawing at my Soul
"Brand, Dionne","In Another Place, Not Here"
"Brand, Dionne",At the Full and Change of the Moon
"Breaux, Magdalene",The Family Curse
"Breaux, Magdalene",Imaginary Playmate
Brick; Storm,Best Laid Plans: A Hood Misfits Novel
"Bridgeforth, Med",Another Chance
"Bridgeforth, Med",God's Law and Man's
"Brinkley, Jamel",A Lucky Man: Stories
"Briscoe, Connie",Big Girls Don't Cry
"Briscoe, Connie",A Long Way From Home
"Briscoe, Connie",P.G. County
"Briscoe, Lawrence",Fisher's Alley
"Brockett, Joshua Arthur","Zipporah, The Maid of Midian"
"Brooke, Amos",Doing time
"Brooke, Amos",The Last Toke
"Brooke, Amos",Black in a white paradise
"Brooks-Harris, Nathasha",Panache
"Brookshire, LaJoyce",Soul Food
"Brookshire, LaJoyce",Web Deception
"Brown, Cecil",Days Without Weather
"Brown, Handy Nereus",The Necromancer Or Voo-Doo Doctor: A Story Based on Facts
"Brown, Josephine Stephens",The Way of the Shadows
"Brown, Mattye Jeanette",The Reign of Terror
"Brown, Tracy",Snapped
"Brown, Tracy",Boss
"Brown, William",Daddy Must Die
"Bryant-Woolridge, Lori",Read Between The Lines
"Bryant-Woolridge, Lori",Hitts & Mrs.
"Bryant, Dana",Song of the Siren: Tales of Rhythm and Revoltuion
"Bryant, Jerold M.",Single Man Screaming
"Bryant, Lynne",Alligator Lake
"Buck, Carole",Three-Alarm Love
"Buckhanon, Kalisha",Solemn
"Bullard, Linda McKeever",Shades of Justice
"Bullins, Ed",The Reluctant Rapist
"Bunkley, Anita Richmond","Emily, The Yellow Rose"
"Bunkley, Anita Richmond",Black Gold
"Bunkley, Anita Richmond",Mirrored Life
"Bunkley, Anita; Rutland, Eva; Kitt, Sandra",Girlfriends
"Bunn, Curtis",Baggage Check
"Burgess, Marie Louise",Ave Maria: A Tale
"Burke, Henry and Dick Croy",The River Jordan: A True Story of the Underground Railroad
"Burnham, Frederick Russell",Taking Chances
"Burston, Betty","24 Hours a Day, 7 Days a Week"
"Burton, Levar",Aftermath: A Novel of the Future
"Bush, Betty L.",Expect Sunshine: A Novel
"Busia, Akosua",The Seasons of Beento Blackbird
"Bussey, Louré",Nightfall
"Bussey, Louré",Just the Thought of You
"Buster, Green",Brighter Sun; A Historical Account of the Struggles of a Man to Free Himself from Human Bondage
"Buster, Greene B.",Brighter Sun: An Historical Account of the Struggles of a Man to Free Himself From Human Bondage
"Butler, Octavia",Survivor
"Butler, Octavia",Dawn
"Butler, Octavia",Imago
"Butler, Octavia",Parable of the Sower
"Butler, Octavia",Parable of the Talents
"Butler, Octavia",Fledgling
"Butler, Tajuana",Desires of a Woman
"Butler, Tajuana",Sorority Sisters: A Novel
"Butler, Tajuana",Hand-Me-Down Heartache
"Byer, Reggie",Nobody Gets Rich
"Byers, Betty B.",Wired for Murder
"Byrd, Adrianne",Defenseless
"Byrd, Adrianne",Forget Me Not
"Cain, Johnnie Mae",White Bastards
Cairo,Retribution
"Campbell, Bebe Moore",Singing in the Comeback Choir
"Campbell, Bill",Koontown Killing Kaper
"Campbell, Stacy",Mattie's Call: A Novel
"Cannon, Steve","Groove, Bang and Jive Around"
"Carlysle, Viveca",Sweet Lies
"Carlysle, Viveca",All That Glitters
"Carlysle, Viveca",Temptation
"Carmichael, Giselle",Magnolia Sunset
"Carn, John",Shaw's Nam
"Carney, Vaughn A.",Swiss Movement
"Carrere, Mentis",It's All South
"Carter, Charlotte",Coq Au Vin
"Carter, Charlotte C.",Drumsticks
"Carter, Charlotte C.",Jackson Park
"Carter, Gentle Curtis, Jr.",Traffic My Way
"Carter, Monica",As If Nothing Happened
"Carter, Quentin",In Cahootz
"Carter, Reon",Picture Perfect
"Carter, Stephen L",The Impeachment of Abraham Lincoln
"Cartier, Xam Wilson",Muse-Echo Blues
"Cartwright, Gene",I Never Played Catch With My Father
"Carvalho, Grimaldo",The Negro Messiah
"Caulton, Sonia",The Man Hunt: A Novel
"Caulton, Sonia",Voodoo Love: A Novel
"Caulton, Sonia",No More Love Making
"Cent, 50 and Turner, Nikki",Death Before Dishonor
"Chambers, Christopher",A Prayer for Deliverance: An Angela Bivens Thriller
"Chandler, Cliff",The Paragons
"Chapman, Winston",Caught Up!
"Chase-Riboud, Barbara",Sally Hemings: A Novel
"Chase-Riboud, Barbara",Valide: a novel of the harem
"Chase-Riboud, Barbara",The President's Daughter
"Chase, Naomi",Deception
"Chatterton, Ruth",The Southern Wild
"Cheatham, Tony M.",Father’s Footsteps
"Cheatwood, Kiarri",Lightning in the Swamp
"Cheatwood, Kiarri T-H",A Life on April Canvas
"Cheríe, Jaye",The Golddigger's Club: A Novel
"Childress, Alice",Many Closets
"Clair, Maxine",Rattlebone
"Clark, Beverly",Yesterday Is Gone
"Clark, Beverly",A Twist of Fate
"Clark, Tracy",Broken Places: A Chicago Mystery
"Clark, Wahida",Payback is a Mutha
"Clark, Wahida",Thug Matrimony
"Clark, Wahida",Payback with Ya Life
"Clark, Wahida",Payback Ain't Enough
"Clarke, Austin",The Polished Hoe: A Novel
"Clarke, Breena","River, Cross My Heart"
"Clarke, Hope",Shadow Lover
"Clarke, Hope C.",Pent Up Passion: Unleash the Dangers of Romance
"Clay, Stanley Bennett",In Search of Pretty Young Black Men
"Cleage, Pearl",What Looks Like Crazy on an Ordinary Day
"Cleage, Pearl",I Wish I Had A Red Dress
"Cleage, Pearl",Some Things I Never Thought I'd Do
"Cleage, Pearl",Babylon Sisters
"Cleage, Pearl",Just Wanna Testify (West End #5)
"Cleage, Pearl",Till You Hear From Me
"Cliff, Michelle",Bodies of Water: Stories
"Cliff, Michelle",Free Enterprise: A Novel
"Clifford, A.A.*",Sex Life: A Novel
"Clinton, Dorothy Randle",The Maddening Scar: A Mystery Novel
"Clovis, Dr. Donna L.",Six Doors Down: A Journey Through Synchronicity
"Cole, Alyssa",An Extrordinary Union
"Cole, Alyssa",A Princess In Theory: Reluctant Royals
"Cole, Dorianne",Once in a Blue Moon
"Cole, Teju",Every Day Is for the Thief
"Coleman, Albert Evander","The Romantic Adventures of Rosy, The Octoroon; With Some Account of the Persecution of the Southern Negro During the Reconstruction Period"
"Coleman, Bernadene High",Mama Rose
"Coleman, Bernadene High",I Leave You My Dreams
"Coleman, Darren",Before I Let Go
"Coleman, Darren",Do or Die
"Coleman, Darren",Don't Ever Wonder
"Coleman, James Nelson",Seeker from the Stars
"Coleman, James Nelson",Null-Frequency Impulser
"Coleman, Jaquavis",The Streets Have No King
"Coleman, Merton H.",That Godless Woman
"Colin Channer; Harris, Lynn E.; Dickey, Eric Jerome; and Marcus Major",Got to Be Real: Four Original Love Stories
"Colin, Erika N.",Broken Branches: A Novel
"Collins, Kathleen",Whatever Happened to Interracial Love?: Stories
"Colombo, Judith Woolcock",The Fablesinger
"Colter, Cyrus",River of Eros
"Colter, Cyrus",A Chocolate Soldier
"Colter, Cyrus",City of Light
"Condé, Maryse",The Last of the African Kings
"Connelly-Craig, Dawn",The Rest of Our Lives
"Connor, Bernadette Y.",Damaged!
"Connor, Bernadette Y.",The Parcel Express Murders
"Cook-Anderson, Gretchen",Those Who Trespass Against Us
"Coolidge, Fay Liddle",Black is White
"Cooper Jr., Clarence",Dark Messenger
"Cooper, California",Some Soul to Keep
"Cooper, Desiree",Know the Mother: Stories
"Cooper, J. California",The Wake of the Wind: A Novel
"Cooper, J. California",Life is Short but Wide
"Cooper, John L.",Opus One: A novel
"Cooper, Jr., Clarence",The Scene
"Cooper, Jr., Clarence",Black!: Three Short Novels
"Cooper, Sharon C.",Model Attraction
"Cooper, Ted G.","Obeah, the God of Voodoo"
"Cooper, William",Thank God for a Song: A Novel of Negro Church Life in the Rural South
"Cooper, Yvonne Majett",God of My Silent Tears
"Copage, Eric V",A Kwanza Fable
"Copeland, Sheila",Chocolate Star
"Copeland, Sheila",A Chocolate Affair
"Copeland, Sheila",Princess Sister
"Corbin, Steven",A Hundred Days From Now
"Corbo, D.R.",Hard Ground
"Corthron, Kia",The Castle Cross the Magnet Carter: A Novel
"Cose, Ellis",The Best Defense
"Cotton, Donald",Sore Foots
"Cotton, Ella Earls",Queen of Persia: The Story of Esther Who Saved Her People
"Cox, Joseph Mason Andrew",The Search
"Craft, Francine",Devoted
"Craft, Francine",The Black Pearl
"Craft, Francine",Lyrics of Love
"Craig, Sandra",The Four Winds of Summer
"Cross-Smith, Leesa",Whiskey & Ribbons
"Crump, Sr., George Peter",From Bondage They Came: The Drama of a Negro Community's Rise From Slavery
"Cunningham, Jr., George",Lily-Skin Lover; His Passion for Light Comeplexioned Women Leads Him to Destruction
"D'Aguiar, Fred",Dear Future: A Novel
"Dalton, A. J.",D.C. Heights: The Stories
"Dalton, Davis",Been Here and Gone: A Memoir of the Blues
"Dames, Jamise L.","Momma's Baby, Daddy's Maybe"
"Daniels, Angie",Intimate Intentions
"Daniels, Angie",Endless Enchantment
"Danquah, Meri Nana-Ama",Shaking the Tree: A Collection of New Fiction and Memoir by Black Women
"Danticat, Edwidge",Krik? Krak? Stories
"Darden, Christopher A. and Dick Lochte",The Trials of Nikki Hill
"Darden, Christopher; and Dick Lochte",L.A. Justice
"Datcher, Michael",Raising Fences: A Black Man's Love Story
"Davidson, Jiton Sharmayne",Antiuated Journals
"Davis, Charles",Two Weeks to Find a Killer
"Davis, Charles",The Nut and Bolt
"Davis, Dyanne",The Color of Trouble
"Dawson, Delilah","Ebony Butterfly, Book II"
"Dearman, Jewel E.",Unyielding Bronze
"Dearman, Jewel E.",Principal and the Teachers
"DeBerry, Virginia; Grant, Donna",Tryin' To Sleep in the Bed You Made
"DeBerry, Virginia; Grant, Donna",Far From the Tree
"DeBerry, Virginia; Grant, Donna",Better Than I Know Myself
"Debrew, Darrell",Keisha
"Dee, John",Stagger Lee
"Deese, Allyson M.",Tender Love
"DeJesus, Caroline Maria","Child of the Dark, the Diary of the Author"
"Delaney, Martin R.",Blake; or The Huts of America
"Delany, Ernest J",The Einstein Intersection
"Delany, Samuel",Distant Star
"Delany, Samuel",Return to Neveryon
"Delany, Samuel",The Star Pit
"Delany, Samuel R",They Fly at Ciron
"Delany, Samuel R",Atlantis: Three Tales
"Delany, Samuel R.",The Tides of Lust
"Delany, Samuel R.",Trouble on Triton: An Ambiguous Heterotopia
"Delany, Samuel R.",Empire: A Visual Novel
"Delany, Samuel R.",The Jewel-Hinged Jaw
"Delany, Samuel R.",Through the Valley of the Nest of Spiders
"DeLoach, Nora",Silas
"DeLoach, Nora",Mama Solves a Murder
"DeLoach, Nora",Mama Traps a Killer
"DeLoach, Nora",Mama Saves a Victim
"DeLoach, Nora",Mama Stalks the Past
"DeLoach, Nora",Mama Stands Accused
"DeLoach, Nora",Mama Rocks the Empty Cradle
"DeLoach, Nora",Mama Pursues Murderous Shadows
"DeLoach, Nora",Mama Cracks a Mask of Innocence
"Desmond, Norman",Window to My Soul
"Dewan, Raman N.",Saggitarius
"Diamond, De'nesha",Queen Divas
"Diamond, De'nesha",Conspiracy
"Dickens, Albert",Uncle YAH YAH
"Dickey, Eric Jerome",Liar's Game
"Dickey, Eric Jerome",Between Lovers
"Dickey, Eric Jerome",Thieve's Paradise
"Dickey, Eric Jerome",Drive Me Crazy
"Dickey, Eric Jerome",Chasing Destiny
"Dickey, Eric Jerome",Sleeping with Strangers
"Dickey, Eric Jerome",Dying for Revenge
"Dickey, Eric Jerome",Pleasure
"Dickey, Eric Jerome",An Accidental Affair
"Dickey, Eric Jerome",A Wanted Woman
"Dickey, Eric Jerome",The Blackbirds
"Dickey, Eric Jerome",Finding Gideon
"Dickey, Eric Jerome",Bad Men and Wicked Women
"Diggs, Anita Doreen",A Mighty Love
"Diggs, Daryl C.",That's the Way Love Goes
"Dixon, Collen","Simon Says: A Novel of Intrigue, Betrayal – and Murder"
"Dodson, Owen",Boy at the Window
"Dodson, Owen",When Trees Were Green
"Dorce-Coupet, Darline",Embracing the Horror: A Story of Forbidden Love
"Dorsey, John T",The Lion of Judah
"Dreer, Herman",The Tie that Binds : A Novel of a Youth Who Seeks to Understand Life
"Drowning, Henry F.",The American Calvaryman; A Liberian Romance
"Drummond, Mary",Come Go With Me: High Rock and Spring Bank
"Dry, Richard",Leaving: A Novel
"Dubois, Shirley G.",Zulu Heart
"Dubois, W.E.B.",Quest of the Silver Fleece
"DuBois, W.E.B.",Dark Princess
"Dubois, W.E.B.",Mansart Builds a School
"Dubois, W.E.B.",Worlds of Color
"Dubose, Janet",A Cry from a Child of the Ghetto
"Duck, Phill",Sugar Ain't Sweet
"Due, Tananarive","The Black Rose: The Magnificent Story of Madam C.J. Walker, America's First Black Female Millionaire"
"Due, Tananarive",The Living Blood
"Due, Tananarive",The Good House
"Due, Tananarive",Joplin's Ghost
"Due, Tananarive",Blood Colony
"Due, Tananarive",My Soul to Take
"Duke, Romare",Hot Snake Nights
"Dulaney, Kim L.",The Beautiful Ones
"Dumas, Glenda",The Rootworker
"Dunham, Katherine",Kasamance: A Fantasy
"Dunlop, Reginald",Love Notes: A Novel
"Durham, David Anthony",Acacia: The War with the Mein
"Durham, David Anthony",Acacia: The Other Lands
"Durham, David Anthony",Acacia: The Sacred Band
"Durham, John Stephens","Diane, Priestess of Haiti"
"Durrow, Heidi W.",The Girl Who Fell from the Sky
"Easterling, Narena",Broken Lights
"Easterling, Narena",Louisiana Lady
"Easterling, Narena",Peter and Anne
"Ebersohn, Wessell",A Lonely Place to Die
"Edwards, Grace",No Time to Die: A Mali Anderson Mystery
"Edwards, Grace F.",If I Should Die: A Mali Anderson Mystery
"Edwards, Grace F.",Do or Die: A Mali Anderson Mystery
"Edwards, Yvvette",A Cupboard Full of Coats
"Egeston, Brian",Granddaddy's Dirt: A Novel
"Elam, Patricia",Breathing Room
"Elliott, K",Entangled
"Ellis, Shelly",Lust and Loyalty
"Ellison, Ralph; John F Callahan; and Adam Bradley",Three days before the shooting
"Elmore, Ronn","Mercy, Mercy Me"
"Emery, Lynn",Night Magic
"Emery, Lynn",After All
"Emery, Lynn",Tender Touch
"Emery, Lynn",Sweet Mystery
"Emery, Lynn",One Love
"Emery, Lynn",A Time to Love
"Emery, Lynn",Gotta Get Next to You
"Emery, Lynn",All I Want is Forever
"Emery, Lynn",Tell Me Something Good
"Emery, Lynn",Kiss Lonely Goodbye
"English, Rubynn M.",Citizen U.S.A.: The Biography of a Negro
"Ervin, Keisha",Mina's Joint
"Ervin, Keisha",Torn
"Esdaile, Leslie",Sundance
"Esdaile, Leslie",Slow Burn
"Esdaile, Leslie",Love Lessons
"Esdaile, Leslie",Love Notes
"Esdaile, Leslie",Rivers of the Soul
"Esdaile, Leslie",Love Potions
"Esdaile, Leslie",Still Waters Run Deep
"Esdaile, Leslie",Through the Storm
"Esdaile, Leslie",Tomorrow’s Promise
"Esdaile, Leslie; Laudat, Reon; Stanhope, Níqui; and Monica Jackson",Sistahood of Shopaholics
"Esdaile, Leslie; Schuester, Melanie; and Linda Walters",Candlelight and You
"Esdaile, Leslie; Stanhope, Niqui; Jackson, Monica; and Reon Laudat",Sistahood of Shopaholics
"Everett, Percival L.",Walk Me to the Distance
"Everett, Percival L.",For Her Dark Skin
"Everett, Percival L.",God's Country: A Novel
"Everett, Percival L.",Assumption
"Fair, Ronald L.",Hog Butcher: A Novel
"Fairley, Ruth A.",Rocks and Roses
"Farley, Jeff",You Get What You Play For: A Novel
"Farrell, John",Naked Truth: From the Shadows of the Bible
"Farrell, Madeleine and Commodore Stone, III",When I Wasn’t Looking
"Faulkner, Blanche",The Lively House
"Faulkner, Blanche",The Storm is Over
"Fauset, Jessie Redmond","Plum Bun, A Novel Without Moral"
"Faye, Cheryl",At First Sight
"Feggans, Charles",Trapped by Impulsion
"Felton, James A.",Fruits of Enduring Faith: A Story of Racial Unity
"Ferguson, Elaine R.","Echoes of Mercy, Whispers of Love"
"Ferguson, Ira Lunan",The Biography of G. Wash Caner
"Ferguson, Ira Lunan",Which One of You is Interracial
"Ferguson, Maggie",Looks are Deceiving
"Ferguson, Maggie",Fever Rising
"Ferguson, Maggie",True Hearts
"Ferguson, Torrian",Swingers
"Fielding, Joy",She's Not There: A Novel
"Files, Lolita",Scenes from a Sistah
"Files, Lolita",Getting to the Good Part
"Files, Lolita",Tastes Like Chicken
"Finch, Amanda",Back Trail: A Novella of Love in the South
"Fine, Africa",Katrina
"Finney, Rená A",Halfway to Tomorrow
"Fiore, Carmen Anthony",Vendetta Mountain
"Fiore, Carmen Anthony",Little Oscar: A Novel of Erotic Realism
"Fleming, Barbara",Hot Stones – Cold Death
"Fletcher, Michele A.",Charge it to the Game
"Fletcher, Omar",Black Against the Mob
"Fletcher, Omar",Walking Black and Tall
"Fletcher, Omar",Hurricane Man
"Fletcher, Omar",Escape from Death Row
"Folkes, Nurit",Rectangle Of Sins
"Ford, Bette",Forever After
"Ford, Bette",Can't Stop Loving You
"Ford, Darnella",Rising
"Forrest, Leon",Divine Days
"Forster, Gwynne",Sealed With a Kiss
"Forster, Gwynne",Against All Odds
"Forster, Gwynne",Ecstasy
"Forster, Gwynne",Beyond Desire
"Forster, Gwynne",Naked Soul
"Forster, Gwynne",Obsession
"Forster, Gwynne",Against the Wind
"Forster, Gwynne",Fools Rush In
"Forster, Gwynne",Midnight Magic
"Forster, Gwynne",Secret Desire
"Forster, Gwynne",Swept Away
"Forster, Gwynne",Scarlet Woman
"Forster, Gwynne",Once in a Lifetime
"Forster, Gwynne",When Twilight Comes
"Forster, Gwynne",Blues from Down Deep
"Forster, Gwynne",Flying High
"Fortune, Gwen Y.",Growing Up Nigger Rich: A Novel
"Foster, Cecil",No Man in the House: A Novel
"Foster, Sharon Ewell",Passing by Samaria
"Foster, Sharon Ewell",Ain't No River
"Foster, Sharon Ewell",Riding through Shadows
"Foster, Sharon Ewell",Passing Into Light
"Foster, Sharon Ewell","The Resurrection of Nat Turner, Part 2: The Testimony"
"Fottrell, M. K",The Color of Blood
"Foxx, Nina",Get Some Love
"Foye, K'wan",Hood Rat
"Foye, K'wan",Still Hood
"Foye, K'wan",Gutter
"Franklin, James Thomas","Crimson Alters; or, A Minister's Sin"
"Fredd, Carla",Fire and Ice
"Fredd, Carla",If Only You Knew
"Fullilove, Eric James",Blowback
"Fulton, David B","Hanover, or the Persecution"
"Fulton, David B.","Hanover; or,The Persecution of the Lowly. Story of the Wilmington Massacre"
"G'Orge-Walker, Pat",Cruisin' on Desperation
"G'Orge-Walker, Pat",Somewhat Saved
"Gaines, Edwina",Your People Are My People
"Gaiter, Leonce",Bourbon Street
"Gaiter, Leonce",I Dreamt I Was In Heaven - The Rampage of the Rufus Buck Gang
"Garcia, Francine C.",Here & Now
"Gardner, Barbara",Black Odyssey
"Garland, Ardella",Hit Time: A Mystery
"Garner, Tracee Lydia",Come What May
"Garrett, Beatrice",Welfare on Skid Row: A Novel
"Gauthier, LaFlorya",Whispers in the Sand
"Gay, Roxanne",Ayiti
"Gayle, Roberta",Sunshine and Shadows
"Gayle, Roberta",Moonrise
"Gayle, Roberta",Worth Waiting For
"Gayle, Roberta; Anna Larence and Gail McFarland",Bouquet
"George, Nelson",Seduced: The Life and Times of a One-hit Wonder
"George, Nelson",Show and Tell
"Gholson, Edward",From Jerusalem to Jericho
"Gibson, Cornelia",Surviving Broken Promises
"Giles, Lamar R.",Fake ID
"Gilmer, J. Lance",Hell is Forever
"Gilmer, J. Lance",Last Touchdown
"Gilmer, J. Lance",Hell Has No Exit
"Gilmore, Monique",No Ordinary Love
"Gilmore, Monique",Hearts Afire
"Gilmore, Monique",The Grass Ain't Greener
"Giusto, Lalyle",Something So Right
"Giusto, Layle",Sweet Promise
"Giusto, Layle",Home Fires
"Giusto, Layle",Silver Love
"Giusto, Layle; Johnson, Doris; and Jacquelin Thomas",Cupid's Arrow
"Givens, Sha",Through the Storm
"Glass, Frankcina",Marvin & Tige
"Glave, Thomas",Whose Song? And Other Stories
"Glenn, Roy",Is it a Crime: A DIfferent Kind of Love Story
"Glenn, Roy",Private Deceptions
"Glover, Bonnie J.",Going Down South
"Glover, Vivian",The First Fig Tree
"Gober, Dom",Black Cop
"Gober, Dom",Doomsday Squad
"Gober, Dom",Killer Cop
